Headline,Article Link
54 new Covid-19 cases in Singapore,"=HYPERLINK(""https://www.straitstimes.com/singapore/54-new-covid-19-cases-in-singapore-including-8-in-the-community-and-7-imported"")"
Even a plane wore a 'mask' when it landed at Changi Airport,"=HYPERLINK(""https://www.straitstimes.com/singapore/coronavirus-even-a-plane-donned-a-mask-when-it-landed-at-changi-airport"")"
Singapore passengers cleared to board Scoot flight to Guangzhou after Covid-19 test scramble,"=HYPERLINK(""https://www.straitstimes.com/singapore/passengers-cleared-to-board-scoot-flight-to-guangzhou-after-covid-19-test-scramble"")"
Morning Briefing: Top stories from The Straits Times on Aug 30,"=HYPERLINK(""https://www.straitstimes.com/singapore/morning-briefing-top-stories-from-the-straits-times-on-aug-30"")"
What dreams for Singapore in these gloomy times?,"=HYPERLINK(""https://www.straitstimes.com/singapore/what-dreams-for-singapore-in-these-gloomy-times"")"
Online scams remain a worry,"=HYPERLINK(""https://www.straitstimes.com/singapore/online-scams-remain-a-worry"")"
"Orchard Road malls, Geylang Serai market among new places visited by Covid-19 patients while infectious","=HYPERLINK(""https://www.straitstimes.com/singapore/health/orchard-road-malls-geylang-serai-market-among-new-places-visited-by-covid-19"")"
Tighter regulations on what constitutes a mask and how it should be worn come into effect,"=HYPERLINK(""https://www.straitstimes.com/singapore/health/rules-on-definition-and-wearing-of-masks-tightened-under-covid-19-control-order"")"
Second-hand smoke complaints in residential areas rise as more work from home due to Covid-19,"=HYPERLINK(""https://www.straitstimes.com/singapore/environment/complaints-about-secondhand-smoke-in-residential-areas-rise-during-pandemic"")"
"GBS bacteria patients double in July, cases similar to 2015 outbreak from eating raw fish","=HYPERLINK(""https://www.straitstimes.com/singapore/health/gbs-bacteria-patients-double-in-july-cases-similar-to-2015-outbreak-from-eating-raw"")"
Debate on the President's Address: 4 things you need to know ,"=HYPERLINK(""https://www.straitstimes.com/politics/debate-on-the-presidents-address-4-things-you-need-to-know"")"
"Safe space with less confrontation needed when talking about sensitive issues, says Edwin Tong","=HYPERLINK(""https://www.straitstimes.com/politics/less-confrontation-more-mediation-when-talking-about-sensitive-issues-edwin-tong"")"
AHTC allowed to make some changes to claims in the case against its own town councillors,"=HYPERLINK(""https://www.straitstimes.com/politics/ahtc-allowed-to-make-some-changes-to-claims-in-the-case-against-its-own-town-councillors"")"
MCCY outlines steps to build a caring and inclusive society,"=HYPERLINK(""https://www.straitstimes.com/politics/addenda-to-presidents-address-mccys-steps-to-building-a-caring-inclusive-society"")"
Why social compact needs to be strengthened in fiscally sustainable way: DPM Heng,"=HYPERLINK(""https://www.straitstimes.com/politics/addendum-to-presidents-address-why-social-compact-needs-to-be-strengthened-in-fiscally"")"
Indonesia drive-in concert delivers live music as coronavirus rages,"=HYPERLINK(""https://www.straitstimes.com/asia/se-asia/indonesia-drive-in-concert-delivers-live-music-as-coronavirus-rages"")"
China curbs exports of some AI technologies,"=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/china-curbs-exports-of-some-ai-technologies"")"
"With a wary eye on China, Taiwan moves to revamp its military","=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/with-a-wary-eye-on-china-taiwan-moves-to-revamp-its-military"")"
Taiwan builds on recognition with Czech delegation,"=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/taiwan-builds-on-recognition-with-czech-delegation"")"
Chinese coastguard cruises North Pacific Ocean to enforce fisheries law,"=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/chinese-coast-guard-cruises-north-pacific-ocean-for-fisheries-law-enforcement"")"
"India sets world's highest single-day rise with 78,761 new coronavirus cases","=HYPERLINK(""https://www.straitstimes.com/asia/south-asia/india-sets-worlds-highest-single-day-rise-with-78761-new-virus-cases"")"
China's new tech export controls could give Beijing a say in TikTok sale,"=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/chinas-new-tech-export-controls-could-give-beijing-a-say-in-tiktok-sale"")"
"Huawei focusing on cloud business, which still has access to US chips: Media","=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/huawei-focusing-on-cloud-business-which-still-has-access-to-us-chips-media"")"
Japan's top govt spokesman Suga to join race to succeed PM Abe,"=HYPERLINK(""https://www.straitstimes.com/asia/east-asia/japans-suga-to-join-race-to-succeed-pm-abe"")"
"Australia, New Zealand tread cautiously as coronavirus lingers","=HYPERLINK(""https://www.straitstimes.com/asia/australianz/australias-victoria-state-sees-new-covid-19-cases-back-in-triple-digits"")"
Israel hopes for UAE normalisation ceremony in Washington next month: Minister,"=HYPERLINK(""https://www.straitstimes.com/world/middle-east/israel-hopes-for-uae-normalisation-ceremony-in-dc-next-month-minister"")"
"US election 2020: In America, a campaign primed with fear","=HYPERLINK(""https://www.straitstimes.com/world/united-states/us-election-2020-in-america-a-campaign-primed-with-fear"")"
Global virus cases cross 25 million as India sets grim record,"=HYPERLINK(""https://www.straitstimes.com/world/europe/confirmed-global-coronavirus-cases-pass-25-million-afp-tally"")"
All migrants moved off stranded Banksy rescue boat,"=HYPERLINK(""https://www.straitstimes.com/world/europe/all-migrants-moved-off-stranded-banksy-rescue-boat"")"
Europe still mired in division after 2015 migrant crisis,"=HYPERLINK(""https://www.straitstimes.com/world/europe/europe-still-mired-in-division-after-migrant-crisis"")"
"Brazil surpasses 120,000 Covid-19 deaths","=HYPERLINK(""https://www.straitstimes.com/world/americas/brazil-surpasses-120000-covid-19-deaths"")"
